NAME,ADDRESS,USE_TYPE,SCHOOL_SITE,POOL,POOL_NAME,WEB_URL,PHONE,STATUS,FITNESS_CENTER,GIS_ID,OBJECTID,CREATED
Stead RC Spray Park,1625 P STREET NW,SPRAY PARK,no,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 673-4465,Open,No,RecPt_120,1720,"2022/08/11 23:34:41+00"
Takoma CC Spray Park,300 VAN BUREN STREET NW,SPRAY PARK,no,spray park,Takoma CC Spray Park,https://dpr.dc.gov/page/spray-parks,(202) 576-9284,Open,No,RecPt_121,1721,"2022/08/11 23:34:41+00"
Langdon Park Spray Park,2860 MILLS AVENUE NE,SPRAY PARK,no,spray park,Langdon Park Spray Park,https://dpr.dc.gov/page/spray-parks,(202) 576-8655,Open,No,RecPt_122,1722,"2022/08/11 23:34:41+00"
Turkey Thicket RC Spray Park,1100 MICHIGAN AVENUE NE,SPRAY PARK,no,spray park,Turkey Thicket Aquatic Center,https://dpr.dc.gov/page/spray-parks,(202) 576-9238,Closed For Renovations,No,RecPt_123,1723,"2022/08/11 23:34:41+00"
Watkins RC Spray Park,420 12TH STREET SE,SPRAY PARK,no,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 724-4468,Open,No,RecPt_124,1724,"2022/08/11 23:34:41+00"
Park at LeDroit Spray Park,319 OAKDALE PLACE NW,SPRAY PARK,Unknown,spray park,none,https://dpr.dc.gov/page/spray-parks,(372) 202-7730,Open,No,RecPt_125,1725,"2022/08/11 23:34:41+00"
Benning Stoddert CC Spray Park,100 STODDERT PLACE SE,SPRAY PARK,no,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 698-1873,Open,No,RecPt_127,1727,"2022/08/11 23:34:41+00"
Potomac Avenue Triangle Spray Park,1250 POTOMAC AVENUE SE,SPRAY PARK,Unknown,spray park,none,https://dpr.dc.gov/page/spray-parks,(138) 225-2570,Open,No,RecPt_128,1728,"2022/08/11 23:34:41+00"
Eastern Market Metro Spray Park,701 PENNSYLVANIA AVENUE SE,SPRAY PARK,Unknown,spray park,none,https://dpr.dc.gov/page/spray-parks,(891) 644-1728,Open,No,RecPt_129,1729,"2022/08/11 23:34:41+00"
Edgewood RC Spray Park,301 FRANKLIN STREET NE,SPRAY PARK,no,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 788-2204,Open,No,RecPt_130,1730,"2022/08/11 23:34:41+00"
Marvin Gaye Park at Division Avenue,DIVISION AVENUE NE AND FOOTE STREET NE,SPRAY PARK,Unknown,spray park,none,https://dpr.dc.gov/page/spray-parks,(202) 899-6004,Open,No,RecPt_131,1731,"2022/08/11 23:34:41+00"
Glover Park Community Center,4001 CALVERT STREET NW,RECREATION CENTER,Stoddert Elementary School,none,none,https://dpr.dc.gov/page/glover-park-community-center,(202) 299-3324,Open,No,RecPt_132,1732,"2022/08/11 23:34:41+00"
Shepherd Park Community Center,7800 14TH STREET NW,RECREATION CENTER,no,none,none,https://dpr.dc.gov/node/1530916,(202) 788-2234,Open,Fitness Room,RecPt_133,1733,"2022/08/11 23:34:41+00"
Malcolm X Opportunity Center,1351 ALABAMA AVENUE SE,RECREATION CENTER,no,none,none,https://dpr.dc.gov/page/malcolm-x-opportunity-center,(202) 727-9152,Closed,No,RecPt_134,1734,"2022/08/11 23:34:41+00"
Hardy Recreation Center Spray Park,4500 Q STREET NW,SPRAY PARK,no,spray park,Hardy Recreation Center Spray Park,https://dpr.dc.gov/page/spray-parks,(202) 282-2190,Open,No,RecPt_135,1735,"2022/08/11 23:34:41+00"
Roosevelt Aquatic Center,4301 13TH STREET NW,AQUATIC CENTER,no,indoor,none,https://dpr.dc.gov/page/roosevelt-aquatic-center,(202) 730-0583,Open,No,RecPt_136,1736,"2022/08/11 23:34:41+00"
Hearst Pool,3701 37TH STREET NW,POOL,no,outdoor,Hearst Pool,https://dpr.dc.gov/page/hearst-pool,(202) 671-1289,Open,No,RecPt_137,1737,"2022/08/11 23:34:41+00"
Kenilworth Pool,4321 ORD STREET NE,POOL,no,outdoor,Kenilworth Pool,https://dpr.dc.gov/page/kenilworth-pool,(202) 258-6513,Open,No,RecPt_138,1738,"2022/08/11 23:34:41+00"
Fort Greble Recreation Center,250 ELMIRA STREET SW,RECREATION CENTER,no,none,none,https://dpr.dc.gov/page/fort-greble-recreation-center-00,(600) 116-3891,Closed,no,RecPt_139,1739,"2022/08/11 23:34:41+00"
Therapeutic Recreation Center,3030 G STREET SE,RECREATION CENTER,no,indoor,Therapeutic Aquatic Center,https://dpr.dc.gov/page/therapeutic-recreation-center,(202) 698-1794,Closed For Renovations,No,RecPt_140,1921,"2024/03/08 00:28:50+00"
Therapeutic Aquatic Center,3030 G STREET SE,AQUATIC CENTER,no,indoor,Therapeutic Aquatic Center,https://dpr.dc.gov/page/therapeutic-aquatic-center,(202) 645-5708,Closed For Renovations,No,RecPt_141,1922,"2024/03/08 00:28:50+00"
Ballou Aquatic Center,3401 4TH STREET SE,AQUATIC CENTER,Ballou Senior HIgh School,indoor,Ballou Aquatic Center,https://dpr.dc.gov/page/ballou-aquatic-center,(202) 671-1289,Open,No,RecPt_142,1924,"2024/03/08 00:48:00+00"
Reservoir Park Recreation Center,10 LOWER SERVICE COURT NW,RECREATION CENTER,no,indoor,Reservoir Park Aquatic Center,https://dpr.dc.gov/reservoirpark,(202) 299-2069,Open,Fitness Room,RecPt_143,2241,"2024/06/20 18:49:58+00"
Reservoir Park Aquatic Center,10 LOWER SERVICE COURT NW,AQUATIC CENTER,no,indoor,Reservoir Park Aquatic Center,https://dpr.dc.gov/node/1729056,(202) 671-1289,Open,No,RecPt_144,2242,"2024/06/20 18:49:58+00"
Reservoir Park RC Spray Park,10 LOWER SERVICE COURT NW,SPRAY PARK,no,none,none,https://dpr.dc.gov/reservoirpark,(202) 299-2069,Open,No,RecPt_145,2243,"2024/06/20 18:49:58+00"
